,respaldo,balanceo de carga,disponibilidad,replicación,arbitrar,votación,sustitución,exportar,actualizar
0.0,1,0,1,0,1,0,0,0,1
0.15,1,0,2,0,1,1,1,2,1
0.25,0,0,1,1,0,0,0,1,0
0.35,1,0,1,0,0,0,0,0,0
0.375,1,0,1,1,1,0,0,1,0
0.4,2,0,3,2,2,0,0,0,1
0.45,0,0,1,1,0,0,0,0,0
0.5,3,0,6,1,5,3,1,1,2
0.55,1,0,1,1,1,0,0,0,0
0.5625,1,0,2,2,1,1,1,0,1
0.6,2,0,4,1,1,0,1,1,0
0.625,1,0,2,1,1,0,1,0,0
0.65,1,0,7,3,3,1,0,1,1
0.6875,0,0,2,2,2,0,0,1,2
0.7,3,0,6,2,2,3,1,3,4
0.75,5,1,12,4,9,4,0,2,6
0.8,7,0,8,2,7,1,3,2,4
0.85,3,0,10,2,6,0,2,3,2
0.875,7,2,11,6,11,3,1,5,3
0.9,3,0,7,1,4,0,1,1,4
0.95,7,1,11,4,10,2,1,2,6
1.0,8,4,21,8,16,11,5,6,14
